location,date,variant,num_sequences
Angola,2020-10-12,Alpha,0
Angola,2020-10-12,B.1.1.277,0
Angola,2020-10-12,B.1.1.302,0
Angola,2020-10-12,B.1.1.519,0
Angola,2020-10-12,B.1.160,0
Angola,2020-10-12,B.1.177,0
Angola,2020-10-12,B.1.221,0
Angola,2020-10-12,B.1.258,0
Angola,2020-10-12,B.1.367,0
Angola,2020-10-12,B.1.620,0
Angola,2020-10-12,Beta,24
Angola,2020-10-12,Delta,0
Angola,2020-10-12,Epsilon,0
Angola,2020-10-12,Eta,0
Angola,2020-10-12,Gamma,0
Angola,2020-10-12,Iota,0
Angola,2020-10-12,Kappa,0
Angola,2020-10-12,Lambda,0
Angola,2020-10-12,Mu,0
Angola,2020-10-12,Omicron,0
Angola,2020-10-12,S:677H.Robin1,0
Angola,2020-10-12,S:677P.Pelican,0
Angola,2020-10-12,others,5
Angola,2020-10-12,non_who,5
Angola,2020-10-26,Alpha,0
Angola,2020-10-26,B.1.1.277,0
Angola,2020-10-26,B.1.1.302,0
Angola,2020-10-26,B.1.1.519,0
Angola,2020-10-26,B.1.160,0
Angola,2020-10-26,B.1.177,0
Angola,2020-10-26,B.1.221,0
Angola,2020-10-26,B.1.258,0
Angola,2020-10-26,B.1.367,0
Angola,2020-10-26,B.1.620,0
Angola,2020-10-26,Beta,7
Angola,2020-10-26,Delta,0
Angola,2020-10-26,Epsilon,0
Angola,2020-10-26,Eta,0
Angola,2020-10-26,Gamma,0
Angola,2020-10-26,Iota,0
Angola,2020-10-26,Kappa,0
Angola,2020-10-26,Lambda,0
Angola,2020-10-26,Mu,0
Angola,2020-10-26,Omicron,0
Angola,2020-10-26,S:677H.Robin1,0
Angola,2020-10-26,S:677P.Pelican,0
Angola,2020-10-26,others,0
Angola,2020-10-26,non_who,0
Angola,2020-12-07,Alpha,0
Angola,2020-12-07,B.1.1.277,0
Angola,2020-12-07,B.1.1.302,0
Angola,2020-12-07,B.1.1.519,0
Angola,2020-12-07,B.1.160,0
Angola,2020-12-07,B.1.177,0
Angola,2020-12-07,B.1.221,0
Angola,2020-12-07,B.1.258,0
Angola,2020-12-07,B.1.367,0
Angola,2020-12-07,B.1.620,0
Angola,2020-12-07,Beta,6
Angola,2020-12-07,Delta,0
Angola,2020-12-07,Epsilon,0
Angola,2020-12-07,Eta,0
Angola,2020-12-07,Gamma,0
Angola,2020-12-07,Iota,0
Angola,2020-12-07,Kappa,0
Angola,2020-12-07,Lambda,0
Angola,2020-12-07,Mu,0
Angola,2020-12-07,Omicron,0
Angola,2020-12-07,S:677H.Robin1,0
Angola,2020-12-07,S:677P.Pelican,0
Angola,2020-12-07,others,0
Angola,2020-12-07,non_who,0
Angola,2020-12-21,Alpha,0
Angola,2020-12-21,B.1.1.277,0
Angola,2020-12-21,B.1.1.302,0
Angola,2020-12-21,B.1.1.519,0
Angola,2020-12-21,B.1.160,0
Angola,2020-12-21,B.1.177,0
Angola,2020-12-21,B.1.221,0
Angola,2020-12-21,B.1.258,0
Angola,2020-12-21,B.1.367,0
Angola,2020-12-21,B.1.620,0
Angola,2020-12-21,Beta,69
Angola,2020-12-21,Delta,0
Angola,2020-12-21,Epsilon,0
Angola,2020-12-21,Eta,1
Angola,2020-12-21,Gamma,0
Angola,2020-12-21,Iota,0
Angola,2020-12-21,Kappa,0
Angola,2020-12-21,Lambda,0
Angola,2020-12-21,Mu,0
Angola,2020-12-21,Omicron,0
Angola,2020-12-21,S:677H.Robin1,0
Angola,2020-12-21,S:677P.Pelican,0
Angola,2020-12-21,others,23
Angola,2020-12-21,non_who,23
Angola,2021-01-04,Alpha,0
Angola,2021-01-04,B.1.1.277,0
Angola,2021-01-04,B.1.1.302,0
Angola,2021-01-04,B.1.1.519,0
Angola,2021-01-04,B.1.160,0
Angola,2021-01-04,B.1.177,0
Angola,2021-01-04,B.1.221,0
Angola,2021-01-04,B.1.258,0
Angola,2021-01-04,B.1.367,0
Angola,2021-01-04,B.1.620,0
Angola,2021-01-04,Beta,0
Angola,2021-01-04,Delta,0
Angola,2021-01-04,Epsilon,0
Angola,2021-01-04,Eta,0
Angola,2021-01-04,Gamma,0
Angola,2021-01-04,Iota,0
Angola,2021-01-04,Kappa,0
Angola,2021-01-04,Lambda,0
Angola,2021-01-04,Mu,0
Angola,2021-01-04,Omicron,0
Angola,2021-01-04,S:677H.Robin1,0
Angola,2021-01-04,S:677P.Pelican,0
Angola,2021-01-04,others,5
Angola,2021-01-04,non_who,5
Angola,2021-01-11,Alpha,0
Angola,2021-01-11,B.1.1.277,0
Angola,2021-01-11,B.1.1.302,0
Angola,2021-01-11,B.1.1.519,0
Angola,2021-01-11,B.1.160,0
Angola,2021-01-11,B.1.177,0
Angola,2021-01-11,B.1.221,0
Angola,2021-01-11,B.1.258,0
Angola,2021-01-11,B.1.367,0
Angola,2021-01-11,B.1.620,0
Angola,2021-01-11,Beta,1
Angola,2021-01-11,Delta,0
Angola,2021-01-11,Epsilon,0
Angola,2021-01-11,Eta,0
Angola,2021-01-11,Gamma,0
Angola,2021-01-11,Iota,0
Angola,2021-01-11,Kappa,0
Angola,2021-01-11,Lambda,0
Angola,2021-01-11,Mu,0
Angola,2021-01-11,Omicron,0
Angola,2021-01-11,S:677H.Robin1,0
Angola,2021-01-11,S:677P.Pelican,0
Angola,2021-01-11,others,15
Angola,2021-01-11,non_who,15
Angola,2021-01-25,Alpha,3
Angola,2021-01-25,B.1.1.277,0
Angola,2021-01-25,B.1.1.302,0
Angola,2021-01-25,B.1.1.519,0
Angola,2021-01-25,B.1.160,1
Angola,2021-01-25,B.1.177,2
Angola,2021-01-25,B.1.221,0
Angola,2021-01-25,B.1.258,1
Angola,2021-01-25,B.1.367,0
Angola,2021-01-25,B.1.620,0
Angola,2021-01-25,Beta,2
Angola,2021-01-25,Delta,0
Angola,2021-01-25,Epsilon,0
Angola,2021-01-25,Eta,0
Angola,2021-01-25,Gamma,0
Angola,2021-01-25,Iota,0
Angola,2021-01-25,Kappa,0
Angola,2021-01-25,Lambda,0
Angola,2021-01-25,Mu,0
Angola,2021-01-25,Omicron,0
Angola,2021-01-25,S:677H.Robin1,0
Angola,2021-01-25,S:677P.Pelican,0
Angola,2021-01-25,others,43
Angola,2021-01-25,non_who,47
Angola,2021-02-08,Alpha,4
Angola,2021-02-08,B.1.1.277,0
Angola,2021-02-08,B.1.1.302,0
Angola,2021-02-08,B.1.1.519,0
Angola,2021-02-08,B.1.160,1
Angola,2021-02-08,B.1.177,0
Angola,2021-02-08,B.1.221,0
Angola,2021-02-08,B.1.258,0
Angola,2021-02-08,B.1.367,0
Angola,2021-02-08,B.1.620,0
Angola,2021-02-08,Beta,12
Angola,2021-02-08,Delta,0
Angola,2021-02-08,Epsilon,0
Angola,2021-02-08,Eta,0
Angola,2021-02-08,Gamma,0
Angola,2021-02-08,Iota,0
Angola,2021-02-08,Kappa,0
Angola,2021-02-08,Lambda,0
Angola,2021-02-08,Mu,0
Angola,2021-02-08,Omicron,0
Angola,2021-02-08,S:677H.Robin1,0
Angola,2021-02-08,S:677P.Pelican,0
Angola,2021-02-08,others,25
Angola,2021-02-08,non_who,26
Angola,2021-02-22,Alpha,1
Angola,2021-02-22,B.1.1.277,0
Angola,2021-02-22,B.1.1.302,0
Angola,2021-02-22,B.1.1.519,0
Angola,2021-02-22,B.1.160,1
Angola,2021-02-22,B.1.177,1
Angola,2021-02-22,B.1.221,0
Angola,2021-02-22,B.1.258,0
Angola,2021-02-22,B.1.367,0
Angola,2021-02-22,B.1.620,0
Angola,2021-02-22,Beta,16
Angola,2021-02-22,Delta,0
Angola,2021-02-22,Epsilon,0
Angola,2021-02-22,Eta,0
Angola,2021-02-22,Gamma,0
Angola,2021-02-22,Iota,0
Angola,2021-02-22,Kappa,0
Angola,2021-02-22,Lambda,0
Angola,2021-02-22,Mu,0
Angola,2021-02-22,Omicron,0
Angola,2021-02-22,S:677H.Robin1,0
Angola,2021-02-22,S:677P.Pelican,0
Angola,2021-02-22,others,20
Angola,2021-02-22,non_who,22
Angola,2021-03-08,Alpha,7
Angola,2021-03-08,B.1.1.277,0
Angola,2021-03-08,B.1.1.302,0
Angola,2021-03-08,B.1.1.519,0
Angola,2021-03-08,B.1.160,0
Angola,2021-03-08,B.1.177,1
Angola,2021-03-08,B.1.221,0
Angola,2021-03-08,B.1.258,0
Angola,2021-03-08,B.1.367,0
Angola,2021-03-08,B.1.620,0
Angola,2021-03-08,Beta,69
Angola,2021-03-08,Delta,0
Angola,2021-03-08,Epsilon,0
Angola,2021-03-08,Eta,0
Angola,2021-03-08,Gamma,0
Angola,2021-03-08,Iota,0
Angola,2021-03-08,Kappa,0
Angola,2021-03-08,Lambda,0
Angola,2021-03-08,Mu,0
Angola,2021-03-08,Omicron,0
Angola,2021-03-08,S:677H.Robin1,0
Angola,2021-03-08,S:677P.Pelican,0
Angola,2021-03-08,others,36
Angola,2021-03-08,non_who,37
Angola,2021-03-22,Alpha,12
Angola,2021-03-22,B.1.1.277,0
Angola,2021-03-22,B.1.1.302,0
Angola,2021-03-22,B.1.1.519,0
Angola,2021-03-22,B.1.160,0
Angola,2021-03-22,B.1.177,0
Angola,2021-03-22,B.1.221,0
Angola,2021-03-22,B.1.258,0
Angola,2021-03-22,B.1.367,0
Angola,2021-03-22,B.1.620,0
Angola,2021-03-22,Beta,87
Angola,2021-03-22,Delta,0
Angola,2021-03-22,Epsilon,0
Angola,2021-03-22,Eta,1
Angola,2021-03-22,Gamma,0
Angola,2021-03-22,Iota,0
Angola,2021-03-22,Kappa,1
Angola,2021-03-22,Lambda,0
Angola,2021-03-22,Mu,0
Angola,2021-03-22,Omicron,0
Angola,2021-03-22,S:677H.Robin1,0
Angola,2021-03-22,S:677P.Pelican,0
Angola,2021-03-22,others,20
Angola,2021-03-22,non_who,20
Angola,2021-04-05,Alpha,32
Angola,2021-04-05,B.1.1.277,0
Angola,2021-04-05,B.1.1.302,0
Angola,2021-04-05,B.1.1.519,0
Angola,2021-04-05,B.1.160,0
Angola,2021-04-05,B.1.177,0
Angola,2021-04-05,B.1.221,0
Angola,2021-04-05,B.1.258,0
Angola,2021-04-05,B.1.367,0
Angola,2021-04-05,B.1.620,2
Angola,2021-04-05,Beta,64
Angola,2021-04-05,Delta,0
Angola,2021-04-05,Epsilon,0
Angola,2021-04-05,Eta,6
Angola,2021-04-05,Gamma,1
Angola,2021-04-05,Iota,0
Angola,2021-04-05,Kappa,4
Angola,2021-04-05,Lambda,0
Angola,2021-04-05,Mu,0
Angola,2021-04-05,Omicron,0
Angola,2021-04-05,S:677H.Robin1,0
Angola,2021-04-05,S:677P.Pelican,0
Angola,2021-04-05,others,28
Angola,2021-04-05,non_who,30
Angola,2021-04-19,Alpha,21
Angola,2021-04-19,B.1.1.277,0
Angola,2021-04-19,B.1.1.302,0
Angola,2021-04-19,B.1.1.519,0
Angola,2021-04-19,B.1.160,0
Angola,2021-04-19,B.1.177,0
Angola,2021-04-19,B.1.221,0
Angola,2021-04-19,B.1.258,0
Angola,2021-04-19,B.1.367,0
Angola,2021-04-19,B.1.620,0
Angola,2021-04-19,Beta,31
Angola,2021-04-19,Delta,2
Angola,2021-04-19,Epsilon,0
Angola,2021-04-19,Eta,2
Angola,2021-04-19,Gamma,0
Angola,2021-04-19,Iota,0
Angola,2021-04-19,Kappa,1
Angola,2021-04-19,Lambda,0
Angola,2021-04-19,Mu,0
Angola,2021-04-19,Omicron,0
Angola,2021-04-19,S:677H.Robin1,0
Angola,2021-04-19,S:677P.Pelican,0
Angola,2021-04-19,others,26
Angola,2021-04-19,non_who,26
Angola,2021-05-03,Alpha,11
Angola,2021-05-03,B.1.1.277,0
Angola,2021-05-03,B.1.1.302,0
Angola,2021-05-03,B.1.1.519,0
Angola,2021-05-03,B.1.160,0
Angola,2021-05-03,B.1.177,0
Angola,2021-05-03,B.1.221,0
Angola,2021-05-03,B.1.258,0
Angola,2021-05-03,B.1.367,0
Angola,2021-05-03,B.1.620,0
Angola,2021-05-03,Beta,17
Angola,2021-05-03,Delta,1
Angola,2021-05-03,Epsilon,0
Angola,2021-05-03,Eta,0
Angola,2021-05-03,Gamma,0
Angola,2021-05-03,Iota,0
Angola,2021-05-03,Kappa,0
Angola,2021-05-03,Lambda,0
Angola,2021-05-03,Mu,0
Angola,2021-05-03,Omicron,0
Angola,2021-05-03,S:677H.Robin1,0
Angola,2021-05-03,S:677P.Pelican,0
Angola,2021-05-03,others,5
Angola,2021-05-03,non_who,5
Angola,2021-05-17,Alpha,0
Angola,2021-05-17,B.1.1.277,0
Angola,2021-05-17,B.1.1.302,0
Angola,2021-05-17,B.1.1.519,0
Angola,2021-05-17,B.1.160,0
Angola,2021-05-17,B.1.177,0
Angola,2021-05-17,B.1.221,0
Angola,2021-05-17,B.1.258,0
Angola,2021-05-17,B.1.367,0
Angola,2021-05-17,B.1.620,0
Angola,2021-05-17,Beta,0
Angola,2021-05-17,Delta,4
Angola,2021-05-17,Epsilon,0
Angola,2021-05-17,Eta,0
Angola,2021-05-17,Gamma,0
Angola,2021-05-17,Iota,0
Angola,2021-05-17,Kappa,0
Angola,2021-05-17,Lambda,0
Angola,2021-05-17,Mu,0
Angola,2021-05-17,Omicron,0
Angola,2021-05-17,S:677H.Robin1,0
Angola,2021-05-17,S:677P.Pelican,0
Angola,2021-05-17,others,1
Angola,2021-05-17,non_who,1
Angola,2021-05-31,Alpha,7
Angola,2021-05-31,B.1.1.277,0
Angola,2021-05-31,B.1.1.302,0
Angola,2021-05-31,B.1.1.519,0
Angola,2021-05-31,B.1.160,0
Angola,2021-05-31,B.1.177,0
Angola,2021-05-31,B.1.221,0
Angola,2021-05-31,B.1.258,0
Angola,2021-05-31,B.1.367,0
Angola,2021-05-31,B.1.620,0
Angola,2021-05-31,Beta,0
Angola,2021-05-31,Delta,0
Angola,2021-05-31,Epsilon,0
Angola,2021-05-31,Eta,0
Angola,2021-05-31,Gamma,0
Angola,2021-05-31,Iota,0
Angola,2021-05-31,Kappa,0
Angola,2021-05-31,Lambda,0
Angola,2021-05-31,Mu,0
Angola,2021-05-31,Omicron,0
Angola,2021-05-31,S:677H.Robin1,0
Angola,2021-05-31,S:677P.Pelican,0
Angola,2021-05-31,others,0
Angola,2021-05-31,non_who,0
Angola,2021-06-14,Alpha,17
Angola,2021-06-14,B.1.1.277,0
Angola,2021-06-14,B.1.1.302,0
Angola,2021-06-14,B.1.1.519,0
Angola,2021-06-14,B.1.160,0
Angola,2021-06-14,B.1.177,0
Angola,2021-06-14,B.1.221,0
Angola,2021-06-14,B.1.258,0
Angola,2021-06-14,B.1.367,0
Angola,2021-06-14,B.1.620,0
Angola,2021-06-14,Beta,5
Angola,2021-06-14,Delta,0
Angola,2021-06-14,Epsilon,0
Angola,2021-06-14,Eta,0
Angola,2021-06-14,Gamma,0
Angola,2021-06-14,Iota,0
Angola,2021-06-14,Kappa,0
Angola,2021-06-14,Lambda,0
Angola,2021-06-14,Mu,0
Angola,2021-06-14,Omicron,0
Angola,2021-06-14,S:677H.Robin1,0
Angola,2021-06-14,S:677P.Pelican,0
Angola,2021-06-14,others,0
Angola,2021-06-14,non_who,0
Angola,2021-06-28,Alpha,30
Angola,2021-06-28,B.1.1.277,0
Angola,2021-06-28,B.1.1.302,0
Angola,2021-06-28,B.1.1.519,0
Angola,2021-06-28,B.1.160,0
Angola,2021-06-28,B.1.177,0
Angola,2021-06-28,B.1.221,0
Angola,2021-06-28,B.1.258,0
Angola,2021-06-28,B.1.367,0
Angola,2021-06-28,B.1.620,0
Angola,2021-06-28,Beta,18
Angola,2021-06-28,Delta,10
Angola,2021-06-28,Epsilon,0
Angola,2021-06-28,Eta,0
Angola,2021-06-28,Gamma,0
Angola,2021-06-28,Iota,0
Angola,2021-06-28,Kappa,0
Angola,2021-06-28,Lambda,0
Angola,2021-06-28,Mu,0
Angola,2021-06-28,Omicron,0
Angola,2021-06-28,S:677H.Robin1,0
Angola,2021-06-28,S:677P.Pelican,0
Angola,2021-06-28,others,1
Angola,2021-06-28,non_who,1
Angola,2021-07-12,Alpha,9
Angola,2021-07-12,B.1.1.277,0
Angola,2021-07-12,B.1.1.302,0
Angola,2021-07-12,B.1.1.519,0
Angola,2021-07-12,B.1.160,0
Angola,2021-07-12,B.1.177,0
Angola,2021-07-12,B.1.221,0
Angola,2021-07-12,B.1.258,0
Angola,2021-07-12,B.1.367,0
Angola,2021-07-12,B.1.620,0
Angola,2021-07-12,Beta,12
Angola,2021-07-12,Delta,23
Angola,2021-07-12,Epsilon,0
Angola,2021-07-12,Eta,0
Angola,2021-07-12,Gamma,0
Angola,2021-07-12,Iota,0
Angola,2021-07-12,Kappa,0
Angola,2021-07-12,Lambda,0
Angola,2021-07-12,Mu,0
Angola,2021-07-12,Omicron,0
Angola,2021-07-12,S:677H.Robin1,0
Angola,2021-07-12,S:677P.Pelican,0
Angola,2021-07-12,others,2
Angola,2021-07-12,non_who,2
Angola,2021-07-26,Alpha,2
Angola,2021-07-26,B.1.1.277,0
Angola,2021-07-26,B.1.1.302,0
Angola,2021-07-26,B.1.1.519,0
Angola,2021-07-26,B.1.160,0
Angola,2021-07-26,B.1.177,0
Angola,2021-07-26,B.1.221,0
Angola,2021-07-26,B.1.258,0
Angola,2021-07-26,B.1.367,0
Angola,2021-07-26,B.1.620,0
Angola,2021-07-26,Beta,1
Angola,2021-07-26,Delta,6
Angola,2021-07-26,Epsilon,0
Angola,2021-07-26,Eta,0
Angola,2021-07-26,Gamma,0
Angola,2021-07-26,Iota,0
Angola,2021-07-26,Kappa,0
Angola,2021-07-26,Lambda,0
Angola,2021-07-26,Mu,0
Angola,2021-07-26,Omicron,0
Angola,2021-07-26,S:677H.Robin1,0
Angola,2021-07-26,S:677P.Pelican,0
Angola,2021-07-26,others,1
Angola,2021-07-26,non_who,1
Angola,2021-08-09,Alpha,0
Angola,2021-08-09,B.1.1.277,0
Angola,2021-08-09,B.1.1.302,0
Angola,2021-08-09,B.1.1.519,0
Angola,2021-08-09,B.1.160,0
Angola,2021-08-09,B.1.177,0
Angola,2021-08-09,B.1.221,0
Angola,2021-08-09,B.1.258,0
Angola,2021-08-09,B.1.367,0
Angola,2021-08-09,B.1.620,0
Angola,2021-08-09,Beta,1
Angola,2021-08-09,Delta,3
Angola,2021-08-09,Epsilon,0
Angola,2021-08-09,Eta,0
Angola,2021-08-09,Gamma,0
Angola,2021-08-09,Iota,0
Angola,2021-08-09,Kappa,0
Angola,2021-08-09,Lambda,0
Angola,2021-08-09,Mu,0
Angola,2021-08-09,Omicron,0
Angola,2021-08-09,S:677H.Robin1,0
Angola,2021-08-09,S:677P.Pelican,0
Angola,2021-08-09,others,0
Angola,2021-08-09,non_who,0
Angola,2021-08-23,Alpha,0
Angola,2021-08-23,B.1.1.277,0
Angola,2021-08-23,B.1.1.302,0
Angola,2021-08-23,B.1.1.519,0
Angola,2021-08-23,B.1.160,0
Angola,2021-08-23,B.1.177,0
Angola,2021-08-23,B.1.221,0
Angola,2021-08-23,B.1.258,0
Angola,2021-08-23,B.1.367,0
Angola,2021-08-23,B.1.620,0
Angola,2021-08-23,Beta,0
Angola,2021-08-23,Delta,1
Angola,2021-08-23,Epsilon,0
Angola,2021-08-23,Eta,0
Angola,2021-08-23,Gamma,0
Angola,2021-08-23,Iota,0
Angola,2021-08-23,Kappa,0
Angola,2021-08-23,Lambda,0
Angola,2021-08-23,Mu,0
Angola,2021-08-23,Omicron,0
Angola,2021-08-23,S:677H.Robin1,0
Angola,2021-08-23,S:677P.Pelican,0
Angola,2021-08-23,others,0
Angola,2021-08-23,non_who,0
Angola,2021-09-06,Alpha,0
Angola,2021-09-06,B.1.1.277,0
Angola,2021-09-06,B.1.1.302,0
Angola,2021-09-06,B.1.1.519,0
Angola,2021-09-06,B.1.160,0
Angola,2021-09-06,B.1.177,0
Angola,2021-09-06,B.1.221,0
Angola,2021-09-06,B.1.258,0
Angola,2021-09-06,B.1.367,0
Angola,2021-09-06,B.1.620,0
Angola,2021-09-06,Beta,0
Angola,2021-09-06,Delta,20
Angola,2021-09-06,Epsilon,0
Angola,2021-09-06,Eta,0
Angola,2021-09-06,Gamma,0
Angola,2021-09-06,Iota,0
Angola,2021-09-06,Kappa,0
Angola,2021-09-06,Lambda,0
Angola,2021-09-06,Mu,0
Angola,2021-09-06,Omicron,0
Angola,2021-09-06,S:677H.Robin1,0
Angola,2021-09-06,S:677P.Pelican,0
Angola,2021-09-06,others,0
Angola,2021-09-06,non_who,0
Angola,2021-09-20,Alpha,0
Angola,2021-09-20,B.1.1.277,0
Angola,2021-09-20,B.1.1.302,0
Angola,2021-09-20,B.1.1.519,0
Angola,2021-09-20,B.1.160,0
Angola,2021-09-20,B.1.177,0
Angola,2021-09-20,B.1.221,0
Angola,2021-09-20,B.1.258,0
Angola,2021-09-20,B.1.367,0
Angola,2021-09-20,B.1.620,0
Angola,2021-09-20,Beta,0
Angola,2021-09-20,Delta,57
Angola,2021-09-20,Epsilon,0
Angola,2021-09-20,Eta,0
Angola,2021-09-20,Gamma,0
Angola,2021-09-20,Iota,0
Angola,2021-09-20,Kappa,0
Angola,2021-09-20,Lambda,0
Angola,2021-09-20,Mu,0
Angola,2021-09-20,Omicron,0
Angola,2021-09-20,S:677H.Robin1,0
Angola,2021-09-20,S:677P.Pelican,0
Angola,2021-09-20,others,0
Angola,2021-09-20,non_who,0
Angola,2021-10-04,Alpha,0
Angola,2021-10-04,B.1.1.277,0
Angola,2021-10-04,B.1.1.302,0
Angola,2021-10-04,B.1.1.519,0
Angola,2021-10-04,B.1.160,0
Angola,2021-10-04,B.1.177,0
Angola,2021-10-04,B.1.221,0
Angola,2021-10-04,B.1.258,0
Angola,2021-10-04,B.1.367,0
Angola,2021-10-04,B.1.620,0
Angola,2021-10-04,Beta,0
Angola,2021-10-04,Delta,33
Angola,2021-10-04,Epsilon,0
Angola,2021-10-04,Eta,0
Angola,2021-10-04,Gamma,0
Angola,2021-10-04,Iota,0
Angola,2021-10-04,Kappa,0
Angola,2021-10-04,Lambda,0
Angola,2021-10-04,Mu,0
Angola,2021-10-04,Omicron,0
Angola,2021-10-04,S:677H.Robin1,0
Angola,2021-10-04,S:677P.Pelican,0
Angola,2021-10-04,others,0
Angola,2021-10-04,non_who,0
Argentina,2020-05-11,Alpha,0
Argentina,2020-05-11,B.1.1.277,0
Argentina,2020-05-11,B.1.1.302,0
Argentina,2020-05-11,B.1.1.519,0
Argentina,2020-05-11,B.1.160,0
Argentina,2020-05-11,B.1.177,0
Argentina,2020-05-11,B.1.221,0
Argentina,2020-05-11,B.1.258,0
Argentina,2020-05-11,B.1.367,0
Argentina,2020-05-11,B.1.620,0
Argentina,2020-05-11,Beta,0
Argentina,2020-05-11,Delta,0
Argentina,2020-05-11,Epsilon,0
Argentina,2020-05-11,Eta,0
Argentina,2020-05-11,Gamma,0
Argentina,2020-05-11,Iota,0
Argentina,2020-05-11,Kappa,0
Argentina,2020-05-11,Lambda,0
Argentina,2020-05-11,Mu,0
Argentina,2020-05-11,Omicron,0
Argentina,2020-05-11,S:677H.Robin1,0
Argentina,2020-05-11,S:677P.Pelican,0
Argentina,2020-05-11,others,151
Argentina,2020-05-11,non_who,151
Argentina,2020-05-25,Alpha,0
Argentina,2020-05-25,B.1.1.277,0
Argentina,2020-05-25,B.1.1.302,0
Argentina,2020-05-25,B.1.1.519,0
Argentina,2020-05-25,B.1.160,0
Argentina,2020-05-25,B.1.177,0
Argentina,2020-05-25,B.1.221,0
Argentina,2020-05-25,B.1.258,0
Argentina,2020-05-25,B.1.367,0
Argentina,2020-05-25,B.1.620,0
Argentina,2020-05-25,Beta,0
Argentina,2020-05-25,Delta,0
Argentina,2020-05-25,Epsilon,0
Argentina,2020-05-25,Eta,0
Argentina,2020-05-25,Gamma,0
Argentina,2020-05-25,Iota,0
Argentina,2020-05-25,Kappa,0
Argentina,2020-05-25,Lambda,0
Argentina,2020-05-25,Mu,0
Argentina,2020-05-25,Omicron,0
Argentina,2020-05-25,S:677H.Robin1,0
Argentina,2020-05-25,S:677P.Pelican,0
Argentina,2020-05-25,others,167
Argentina,2020-05-25,non_who,167
Argentina,2020-06-08,Alpha,0
Argentina,2020-06-08,B.1.1.277,0
Argentina,2020-06-08,B.1.1.302,0
Argentina,2020-06-08,B.1.1.519,0
Argentina,2020-06-08,B.1.160,0
Argentina,2020-06-08,B.1.177,0
Argentina,2020-06-08,B.1.221,0
Argentina,2020-06-08,B.1.258,0
Argentina,2020-06-08,B.1.367,0
Argentina,2020-06-08,B.1.620,0
Argentina,2020-06-08,Beta,0
Argentina,2020-06-08,Delta,0
Argentina,2020-06-08,Epsilon,0
Argentina,2020-06-08,Eta,0
Argentina,2020-06-08,Gamma,0
Argentina,2020-06-08,Iota,0
Argentina,2020-06-08,Kappa,0
Argentina,2020-06-08,Lambda,0
Argentina,2020-06-08,Mu,0
Argentina,2020-06-08,Omicron,0
Argentina,2020-06-08,S:677H.Robin1,0
Argentina,2020-06-08,S:677P.Pelican,0
Argentina,2020-06-08,others,67
